Label,Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11
A,0.3481012658227846,0.1342062193126021,0.1227312013828867,0.0244313395113733,0.7692307692307692,0.7118644067796609,0.0985462635497528,0.7988037126160193,0.8348000487910853,0.0015875440384299,6.103611110622527e-05,0.9929949906479072
A,0.3765822784810126,0.1546644844517182,0.1348314606741572,0.0370682392586352,0.8949704142011834,0.7062146892655363,0.1021342519289624,0.8093640426263321,0.8215986459647817,0.9729201928515272,0.9837339082592688,0.9890575315363248
A,0.3481012658227846,0.1407528641571191,0.1227312013828867,0.0219039595619208,0.942307692307692,0.5677966101694913,0.1072688043219914,0.8144915778618083,0.818237237565501,0.0079377205440642,0.0002899215442442,0.9921402546059814
A,0.3544303797468353,0.1407528641571191,0.1244598098530684,0.0303285593934288,0.9585798816568049,0.4943502824858754,0.1019486653621055,0.8182151942248196,0.8146313230506763,0.0022439315542846,0.9959870685636992,0.9949331546493304
A,0.3554852320675103,0.1472995090016366,0.1261884183232497,0.0294860994102781,0.942307692307692,0.4689265536723157,0.0986081071586814,0.8213282915091097,0.807847379723229,0.0040299187377342,0.0009918365031651,0.995223197571713
A,0.3681434599156117,0.1538461538461537,0.1287813310285219,0.0387531592249368,0.9408284023668636,0.5564971751412431,0.0953912919131855,0.8180930904090754,0.8082141388965449,0.0051137224748092,0.9993744910181744,0.9967492763293572
A,0.3639240506329113,0.1497545008183305,0.1279170267934315,0.0362257792754845,0.9378698224852072,0.3841807909604515,0.0929786665440459,0.814369474046064,0.8043637182661763,0.9905816729864788,0.9942626865094092,0.0017703165580537
A,0.3660337552742614,0.1522094926350243,0.1296456352636128,0.0353833192923336,0.9349112426035502,0.3672316384180787,0.0878441141510169,0.8166891715366105,0.8076028736076849,0.0035872391125432,0.9970703313944386,0.9957419324116672
A,0.3491561181434599,0.1366612111292959,0.1227312013828867,0.025273799494524,0.918639053254438,0.6073446327683616,0.0914939740091907,0.8151628738398075,0.8091918880139963,0.005006870289049,0.0019226369611828,0.9955130205980206
A,0.3502109704641349,0.1374795417348608,0.1261884183232497,0.0294860994102781,0.9142011834319526,0.5508474576271185,0.0947726607336507,0.8171162598831214,0.8081530123676589,0.0065486179350715,0.0,0.9941547225452873
A,0.3533755274261603,0.1407528641571191,0.1270527225583406,0.0303285593934288,0.9142011834319526,0.5819209039548019,0.0893906781648363,0.8161397043657614,0.8063194918458035,0.0028392606154345,0.0009918365031651,0.9963220182564316
A,0.3554852320675103,0.1464811783960717,0.1261884183232497,0.0294860994102781,0.9142011834319526,0.5903954802259888,0.0932879681987955,0.8167502234444828,0.8090696349562243,0.0053579620122363,0.9991456140937176,0.9937885955810972
A,0.3544303797468353,0.1407528641571191,0.1270527225583406,0.0311710193765797,0.9142011834319526,0.4237288135593218,0.0932261245898669,0.8182762461326917,0.8090085084273383,0.0047778972348429,0.0016937516819485,0.9953452398931096
B,0.9999999999999998,0.944353518821604,0.9706136560069144,0.9309182813816343,0.1316568047337276,0.5480225988700562,0.2310547657151863,0.0435233826057064,0.8729372205767315,0.0055716685832212,0.998428422424574,0.9946431117269484
B,0.9968354430379744,0.9410801963993451,0.968020743301642,0.9326032013479362,0.1286982248520711,0.6242937853107344,0.2308073355394008,0.0455988174630457,0.8645642628429727,0.0040451852209553,0.0016784927805929,0.9962457143185496
B,0.991561181434599,0.9402618657937808,0.9628349178910978,0.9300758213984835,0.136094674556213,0.4915254237288131,0.230436162405687,0.0476742798212444,0.8633417322652528,0.0042130967412061,0.9975434756225188,0.9914383463358948
B,0.9905063291139238,0.9402618657937808,0.9576490924805534,0.9283909014321818,0.1375739644970415,0.6977401129943503,0.2249922804878728,0.0446832038501203,0.8625473627344594,0.0042894225589178,0.998306398704042,0.9949025890949628
B,0.9451476793248944,0.8936170212765955,0.9075194468452894,0.8930075821398484,0.0931952662721893,0.4915254237288131,0.2276523639028335,0.0452325610175318,0.8630360996208227,0.0027782012809438,0.0004272527557573,0.9954826749397274
B,0.9905063291139238,0.9402618657937808,0.9628349178910978,0.9283909014321818,0.1375739644970415,0.5734463276836159,0.2305598774935797,0.0469417669302165,0.8660921507203981,0.0099984758324539,0.0004272527557573,0.9960014097796818
B,0.998945147679325,0.9459901800327332,0.9714779602420052,0.9351305812973882,0.136094674556213,0.6977401129943503,0.2296938161382594,0.0460261258164317,0.8696980652352229,0.0061975284113487,0.9970857217736048,0.9937580300267294
B,0.9926160337552744,0.9402618657937808,0.9576490924805534,0.9267059814658803,0.140532544378698,0.5028248587570623,0.2303742909267229,0.0482236644895152,0.8649918732004501,0.0070065640434835,0.0008239872690783,0.9920030394554382
B,0.972573839662447,0.9230769230769228,0.961106309420916,0.9174389216512217,0.1375739644970415,0.5310734463276834,0.2314878103278642,0.0420583568236507,0.8668253937223055,0.0025492304262023,0.0013580529939124,0.993880072348126
B,0.940928270042194,0.8985270049099836,0.9593777009507348,0.9182813816343722,0.140532544378698,0.6920903954802258,0.2284565537791897,0.0432792024750773,0.8667031406645335,0.00457945274815,0.0004882888009047,0.9949940658619916
B,0.921940928270042,0.8936170212765955,0.9550561797752808,0.9115417017691658,0.1449704142011834,0.3305084745762707,0.229508201701367,0.0435844070127191,0.8696369387063368,0.0058769652556744,0.0010223545257388,0.9971613615731364
B,0.9272151898734176,0.892798690671031,0.9524632670700086,0.9115417017691658,0.1449704142011834,0.6977401129943503,0.229755659747188,0.0416921003781368,0.8657253915470821,0.003923066551974,0.999877976279468,0.993605422150965
B,0.9166666666666669,0.8739770867430443,0.9291270527225586,0.898062342038753,0.1464497041420118,0.4576271186440674,0.2277142075117621,0.0470028188380887,0.8669476467800774,0.0051900482925209,0.9997865134547091,0.995192632017345
B,0.9198312236286916,0.8772504091653026,0.9291270527225586,0.9048020219039594,0.1479289940828403,0.5169491525423728,0.2303742909267229,0.044561100034376,0.8650529997293361,0.0054190191472624,0.001754787727096,0.994887416265816
B,0.912447257383966,0.8756137479541732,0.9291270527225586,0.9039595619208088,0.1420118343195264,0.5169491525423728,0.2273430343780483,0.0463313303540735,0.8657253915470821,0.0051442532417868,0.0015411613492173,0.9965509300700784
C,0.581223628691983,0.4271685761047461,0.4442523768366464,0.5012636899747263,0.6760355029585798,0.5762711864406773,0.1685741035135539,0.1358808387762117,0.8401783572988792,0.0027782012809438,0.000198367300633,0.9970239265265184
C,0.5780590717299576,0.427986906710311,0.4425237683664651,0.5004212299915756,0.665680473372781,0.5310734463276834,0.1707392708368725,0.1308753523547611,0.8373670876595726,0.0040604495047118,0.0016327156368011,0.9950246314163594
C,0.5886075949367087,0.4337152209492636,0.4459809853068281,0.5054759898904801,0.6760355029585798,0.4802259887005649,0.1699968966994093,0.1412525816431763,0.843295259582616,0.0038925357849964,0.0007782101252864,0.996184583209814
C,0.5854430379746833,0.4328968903436987,0.4468452895419186,0.5088458298230834,0.6671597633136095,0.6355932203389827,0.1685741035135539,0.1354535304228257,0.8397504715966773,0.0025797589937154,0.0006561380349915,0.9999999999999998
C,0.5843881856540083,0.4353518821603925,0.4485738980121003,0.5105307497893852,0.665680473372781,0.5056497175141237,0.1681410589008759,0.1410084290134066,0.8415839921185326,0.0073729200504274,0.9998933666586344,0.9941395497161404
C,0.5896624472573839,0.4337152209492636,0.4477095937770095,0.5139005897219884,0.6775147928994083,0.5169491525423728,0.1688834051683035,0.1378342248195256,0.8426231431095946,0.0043046868426743,0.0016021976142273,0.9948262851570806
C,0.591772151898734,0.4353518821603925,0.4511668107173725,0.5122156697556866,0.668639053254438,0.508474576271186,0.1692545783020173,0.1372237882433826,0.8422563839362786,0.0064112349823337,0.0021210042178433,0.9962303215933284
C,0.5327004219409281,0.3567921440261865,0.3630077787381158,0.4330244313395115,0.5650887573964498,0.4915254237288131,0.1682029303798401,0.1358197868683396,0.8409730021743972,0.0046557785658616,0.9999542685876204,0.994887416265816
C,0.5949367088607593,0.4353518821603925,0.4511668107173725,0.5139005897219884,0.6730769230769229,0.5960451977401124,0.1708629859247652,0.1413746854589206,0.8382837102481379,0.009830559913274,0.0053253987867104,0.9930712945857894
C,0.5949367088607593,0.4386252045826513,0.4537597234226447,0.5147430497051391,0.6834319526627217,0.6581920903954801,0.1688834051683035,0.138566710209694,0.8380392041325939,0.0041520374067155,0.999877976279468,0.996184583209814
C,0.5896624472573839,0.4402618657937807,0.4546240276577356,0.5147430497051391,0.668639053254438,0.5112994350282483,0.1700587960484091,0.1378952492265383,0.8415228655896466,0.005480078481753,0.002243077407451,0.9954367166601384
C,0.590717299578059,0.4386252045826513,0.4546240276577356,0.5147430497051391,0.6745562130177514,0.5028248587570623,0.1673987126334483,0.1422903265727053,0.8404839899433092,0.007632423871611,0.0008392463902964,0.9943532887006408
C,0.5970464135021096,0.4394435351882158,0.4511668107173725,0.5147430497051391,0.6730769230769229,0.5677966101694913,0.1662851932323069,0.1411305053282915,0.8406062430010812,0.0041215088392024,0.000854505291652,0.9958030635204028
C,0.5959915611814344,0.4427168576104745,0.4546240276577356,0.5139005897219884,0.6775147928994083,0.4915254237288131,0.1661614781444142,0.13978758336198,0.8380392041325939,0.0060296146916333,0.0001220722002261,0.9947653739444194
C,0.5981012658227847,0.4427168576104745,0.4589455488331895,0.5147430497051391,0.6789940828402368,0.6045197740112993,0.168388516946697,0.1378952492265383,0.8418896247629626,0.0031140287203746,0.0004119936345391,0.9970239265265184
C,0.5981012658227847,0.4427168576104745,0.4580812445980986,0.5147430497051391,0.6804733727810652,0.703389830508474,0.1661614781444142,0.1416798899965624,0.8374282141884585,0.0048694851368466,0.0004119936345391,0.9957573251368884
C,0.5348101265822784,0.3535188216039278,0.3604148660328437,0.4229149115417019,0.5769230769230766,0.5706214689265536,0.1695020363478384,0.1404590443451358,0.8436008922270459,0.002823996331678,0.9989319076858671,0.9940326802238904
